hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
23425,976.0416666666666,14.749926364326937,14.957926095308135,17.697927619566652,0.0,-31200.706902461403,-1379.0735034603122,0.0,-32579.780405921716,18.0
23426,976.0833333333334,15.189488223348619,15.127756813566513,17.696911990986756,0.0,-26980.913055853263,-1302.0835778498474,0.0,-28282.99663370311,18.0
23427,976.125,15.88873016277713,15.397918471982074,17.695893868865134,0.0,-20268.19043733956,-1179.6102927014601,0.0,-21447.80073004102,18.0
23428,976.1666666666666,16.799999999998157,15.74999999999929,17.694873253725575,0.0,-11520.000000017695,-1020.0000000003222,0.0,-12540.000000018017,18.0
23429,976.2083333333334,17.861196201547614,16.160007623325217,17.693850146093133,0.0,-1332.5164651429077,-834.1298774259014,0.0,-2166.646342568809,18.0
23430,976.25,18.99999999999945,16.59999999999979,17.692824546494148,0.0,9599.999999994714,-634.6666666667627,0.0,8965.333333327952,18.003446195731
23431,976.2916666666666,20.138803798447455,17.03999237667288,17.691796455456302,0.0,20499.432986077954,-436.7657313063479,0.0,20062.667254771608,18.011158109574612
23432,976.3333333333334,21.200000000000887,17.450000000000344,17.69076587350843,0.0,30612.88214809224,-254.3916763403351,0.0,30358.490471751906,18.02282764782529
23433,976.375,22.11126983721926,17.802081528016533,17.68973280118078,0.0,39249.04501818211,-100.0715743133039,0.0,39148.9734438688,18.037876170857196
23434,976.4166666666666,22.810511776650827,18.072243186433276,17.688697239004814,0.0,45817.30181561886,15.579713727823144,0.0,45832.88152934668,18.055493929706017
23435,976.4583333333334,23.25007363567174,18.242073904691356,17.687659187513283,0.0,49867.96517727093,84.58292199335357,0.0,49952.548099264284,18.074695252357603
23436,976.5,23.4,18.3,17.686618647240223,0.0,51122.925577367,102.13815226455344,0.0,51225.063729631554,18.094385718889285
23437,976.5416666666666,23.250073635672685,18.242073904691722,17.68557561872093,0.0,49494.604001120635,66.95197756377146,0.0,49561.55597868441,18.113436747588967
23438,976.5833333333334,22.810511776652653,18.072243186433983,17.68453010249206,0.0,45091.92027901139,-18.674414390259244,0.0,45073.24586462113,18.130762509131323
23439,976.625,22.111269837221844,17.80208152801753,17.68348209909141,0.0,38212.87034966901,-149.00204477158545,0.0,38063.86830489742,18.145393927237112
23440,976.6666666666666,21.20000000000405,17.450000000001566,17.682431609058195,0.0,29324.21829856259,-315.2452470134477,0.0,29008.973051549143,18.15654472279307
23441,976.7083333333334,20.138803798450983,17.039992376674245,17.681378632932834,0.0,19029.68712631598,-506.17039690719974,0.0,18523.51672940878,18.163665000634683
23442,976.75,19.0000000000031,16.6000000000012,17.680323171257033,0.0,8028.815993936814,-708.8614669538464,0.0,7319.954526982968,18.166478727141453
23443,976.7916666666666,17.86119620155114,16.160007623326578,17.679265224573793,0.0,-2930.7122456669845,-909.6002337294098,0.0,-3840.3124793963943,18.165002544608114
23444,976.8333333333334,16.80000000000132,15.750000000000512,17.67820479342738,0.0,-13104.024428225239,-1094.8011535554467,0.0,-14198.825581780686,18.159544640223984
23445,976.875,15.888730162779712,15.397918471983072,17.677141878363344,0.0,-21799.81898346501,-1251.9371962692137,0.0,-23051.756179734224,18.150683746737364
23446,976.9166666666666,15.189488223350445,15.127756813567219,17.67607647992851,0.0,-28427.47702451443,-1370.3935430371328,0.0,-29797.87056755156,18.13922970587521
23447,976.9583333333334,14.749926364327884,14.957926095308501,17.675008598670992,0.0,-32537.312078854324,-1442.1909701235745,0.0,-33979.5030489779,18.126168282055797
23448,977.0,13.300000000000002,14.899999999999999,17.67393823514014,1.0,-46331.21550773563,-1462.5296211986288,37.5,-47756.24512893426,18.107811199059217
23449,977.0416666666666,13.424370734044562,14.934074173710838,17.67286538988666,1.0,-44961.02846414069,-1438.7607848245984,37.5,-46362.28924896529,18.089989940512677
23450,977.0833333333334,13.78900727618647,15.03397459621547,17.671790063462467,1.0,-41289.43357753157,-1385.393622748067,37.5,-42637.32720027964,18.073600524802654
23451,977.125,14.369060248669099,15.19289321881345,17.670712256420774,1.0,-35563.58665088213,-1305.9206453817721,37.5,-36832.0072962639,18.059442623295894
23452,977.1666666666666,15.124999999997687,15.399999999999364,17.669631969316068,1.0,-28170.649183662783,-1205.6139892277602,37.5,-29338.763172890544,18.048165059301326
23453,977.2083333333334,16.00531048537385,15.641180954896944,17.668549202704114,1.0,-19611.403909703753,-1091.1661273299862,37.5,-20665.07003703374,18.04022158709626
23454,977.25,16.949999999998635,15.899999999999624,17.667463957141948,1.0,-10466.127236137185,-970.2337861504744,37.5,-11398.86102228766,18.035839964602957
23455,977.2916666666666,17.894689514623515,16.15881904510233,17.66637623318789,1.0,-1355.0443198026414,-850.9161501736174,37.5,-2168.460469976259,18.035006427361605
23456,977.3333333333334,18.774999999999952,16.399999999999984,17.665286031401532,1.0,7103.938297328136,-741.202913737268,37.5,6400.235383590868,18.03746662187265
23457,977.375,19.530939751328976,16.60710678118602,17.664193352343712,1.0,14337.342042780732,-648.4297944446059,37.5,13726.412248336126,18.042742934702684
23458,977.4166666666666,20.110992723812167,16.766025403784152,17.663098196576616,1.0,19855.19797545104,-578.7786140164012,37.5,19313.919361434637,18.050167036403934
23459,977.4583333333334,20.475629265954737,16.865925826288965,17.662000564663636,1.0,23284.437403687705,-536.8560152521194,37.5,22785.081388435585,18.058925422432864
23460,977.5,20.6,16.9,17.66090045716946,1.0,24394.315944644517,-525.3795248362325,37.5,23906.436419808284,18.068114847529543
23461,977.5416666666666,20.47562926595599,16.86592582628931,17.659797874660047,1.0,23112.1384168939,-544.9923562955724,37.5,22604.646060598327,18.07680387579637
23462,977.5833333333334,20.11099272381293,16.76602540378436,17.658692817702633,1.0,19528.212940958998,-594.2195739787767,37.5,18971.49336698022,18.084096351939888
23463,977.625,19.5309397513324,16.607106781186957,17.657585286865725,1.0,13889.696634168125,-669.5686054079954,37.5,13257.62802876013,18.089192468215458
23464,977.6666666666666,18.775000000001274,16.400000000000347,17.6564752827191,1.0,6583.752305143833,-765.7672522575172,37.5,5855.485052886315,18.09144326546325
23465,977.7083333333334,17.89468951462499,16.158819045102735,17.655362805833818,1.0,-1888.8360080473149,-876.1229798967673,37.5,-2727.4589879440823,18.090394854080063
23466,977.75,16.950000000000163,15.900000000000043,17.654247856782177,1.0,-10947.790599167047,-992.979000516276,37.5,-11903.269599683323,18.08581934134069
23467,977.7916666666666,16.005310485378534,15.641180954898227,17.65313043613784,1.0,-19972.885017236717,-1108.2360685205842,37.5,-21043.621085757302,18.077730357422947
23468,977.8333333333334,15.125000000001885,15.400000000000514,17.652010544475587,1.0,-28346.211431242198,-1213.9044286981698,37.5,-29522.615859940368,18.06638212206328
23469,977.875,14.369060248670179,15.192893218813746,17.650888182371624,1.0,-35494.28998457378,-1302.6483028064563,37.5,-36759.43828738023,18.052252115448916
23470,977.9166666666666,13.789007276187235,15.033974596215678,17.649763350403337,1.0,-40927.15045691213,-1368.2858087190675,37.5,-42257.9362656312,18.036008534296375
23471,977.9583333333334,13.424370734044958,14.934074173710947,17.64863604914941,1.0,-44271.722882413604,-1406.2102434653943,37.5,-45640.433125879,18.018464750930875
23472,978.0,9.899999999999999,13.2,17.647506279189795,2.0,-77937.26160893642,-2184.3706870886635,75.0,-80046.63229602508,18.0
23473,978.0416666666666,10.07037086855387,13.240889008452926,17.646374041105688,2.0,-76124.43966188285,-2157.46364950134,75.0,-78206.90331138419,18.0
23474,978.0833333333334,10.569872981076731,13.360769515458413,17.645239335479623,2.0,-71329.21938166338,-2103.117819658853,75.0,-73357.33720132224,18.0
23475,978.125,11.364466094066373,13.551471862575928,17.644102162895344,2.0,-63701.12549696282,-2016.666088965579,75.0,-65642.7915859284,18.0
23476,978.1666666666666,12.39999999999575,13.79999999999898,17.642962523937875,2.0,-53760.0000000408,-1904.000000000463,75.0,-55589.00000004127,18.0
