hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
1655,68.95833333333333,7.800000000000002,5.957142857142856,8.713974822326195,0.0,-97920.0,-5459.4285714285725,0.0,-103379.42857142858,103379.42857142858
1656,69.0,6.097918471982869,6.2,8.764464178406516,0.0,-114259.98266896445,-5349.333333333334,0.0,-119609.31600229778,119609.31600229778
1657,69.04166666666667,5.827756813566454,6.2,8.764464178406516,0.0,-116853.53458976204,-5349.333333333334,0.0,-122202.86792309537,122202.86792309537
1658,69.08333333333333,5.657926095308584,6.2,8.764464178406516,0.0,-118483.9094850376,-5349.333333333334,0.0,-123833.24281837093,123833.24281837093
1659,69.125,5.6,6.2,8.764464178406516,0.0,-119040.0,-5349.333333333334,0.0,-124389.33333333333,124389.33333333333
1660,69.16666666666667,5.657926095308584,6.2,8.764464178406516,0.0,-118483.9094850376,-5349.333333333334,0.0,-123833.24281837093,123833.24281837093
1661,69.20833333333333,5.827756813566454,6.2,8.764464178406516,0.0,-116853.53458976204,-5349.333333333334,0.0,-122202.86792309537,122202.86792309537
1662,69.25,6.097918471982869,6.2,8.764464178406516,0.0,-114259.98266896445,-5349.333333333334,0.0,-119609.31600229778,119609.31600229778
1663,69.29166666666667,6.45,6.2,8.764464178406516,0.0,-110880.0,-5349.333333333334,0.0,-116229.33333333333,116229.33333333333
1664,69.33333333333333,6.860007623325715,6.2,8.764464178406516,0.0,-106943.92681607314,-5349.333333333334,0.0,-112293.26014940647,112293.26014940647
1665,69.375,7.3,6.2,8.764464178406516,0.0,-102720.0,-5349.333333333334,0.0,-108069.33333333333,108069.33333333333
1666,69.41666666666667,7.7399923766742855,6.2,8.764464178406516,0.0,-98496.07318392686,-5349.333333333334,0.0,-103845.40651726018,103845.40651726018
1667,69.45833333333333,8.15,6.2,8.764464178406516,0.0,-94560.0,-5349.333333333334,0.0,-99909.33333333333,99909.33333333333
1668,69.5,8.502081528017131,6.2,8.764464178406516,0.0,-91180.01733103555,-5349.333333333334,0.0,-96529.35066436887,96529.35066436887
1669,69.54166666666667,8.772243186433546,6.2,8.764464178406516,0.0,-88586.46541023796,-5349.333333333334,0.0,-93935.79874357129,93935.79874357129
1670,69.58333333333333,8.942073904691416,6.2,8.764464178406516,0.0,-86956.09051496242,-5349.333333333334,0.0,-92305.42384829574,92305.42384829574
1671,69.625,9.0,6.2,8.764464178406516,0.0,-86400.0,-5349.333333333334,0.0,-91749.33333333333,91749.33333333333
1672,69.66666666666667,8.942073904691416,6.2,8.764464178406516,0.0,-86956.09051496242,-5349.333333333334,0.0,-92305.42384829574,92305.42384829574
1673,69.70833333333333,8.772243186433546,6.2,8.764464178406516,0.0,-88586.46541023796,-5349.333333333334,0.0,-93935.79874357129,93935.79874357129
1674,69.75,8.502081528017131,6.2,8.764464178406516,0.0,-91180.01733103555,-5349.333333333334,0.0,-96529.35066436887,96529.35066436887
1675,69.79166666666667,8.15,6.2,8.764464178406516,0.0,-94560.0,-5349.333333333334,0.0,-99909.33333333333,99909.33333333333
1676,69.83333333333333,7.7399923766742855,6.2,8.764464178406516,0.0,-98496.07318392686,-5349.333333333334,0.0,-103845.40651726018,103845.40651726018
1677,69.875,7.3,6.2,8.764464178406516,0.0,-102720.0,-5349.333333333334,0.0,-108069.33333333333,108069.33333333333
1678,69.91666666666667,6.860007623325715,6.2,8.764464178406516,0.0,-106943.92681607314,-5349.333333333334,0.0,-112293.26014940647,112293.26014940647
1679,69.95833333333333,6.45,6.2,8.764464178406516,0.0,-110880.0,-5349.333333333334,0.0,-116229.33333333333,116229.33333333333
1680,70.0,6.33223304703363,6.557142857142858,8.816164166923857,0.0,-112010.56274847717,-5187.428571428572,0.0,-117197.99131990573,117197.99131990573
1681,70.04166666666667,5.934936490538902,6.557142857142858,8.816164166923857,0.0,-115824.60969082653,-5187.428571428572,0.0,-121012.0382622551,121012.0382622551
1682,70.08333333333333,5.685185434277329,6.557142857142858,8.816164166923857,0.0,-118222.21983093764,-5187.428571428572,0.0,-123409.6484023662,123409.6484023662
1683,70.125,5.6,6.557142857142858,8.816164166923857,0.0,-119040.0,-5187.428571428572,0.0,-124227.42857142857,124227.42857142857
1684,70.16666666666667,5.685185434277329,6.557142857142858,8.816164166923857,0.0,-118222.21983093764,-5187.428571428572,0.0,-123409.6484023662,123409.6484023662
1685,70.20833333333333,5.934936490538902,6.557142857142858,8.816164166923857,0.0,-115824.60969082653,-5187.428571428572,0.0,-121012.0382622551,121012.0382622551
1686,70.25,6.332233047033631,6.557142857142858,8.816164166923857,0.0,-112010.56274847714,-5187.428571428572,0.0,-117197.9913199057,117197.9913199057
1687,70.29166666666667,6.85,6.557142857142858,8.816164166923857,0.0,-107040.0,-5187.428571428572,0.0,-112227.42857142857,112227.42857142857
1688,70.33333333333333,7.452952387243698,6.557142857142858,8.816164166923857,0.0,-101251.6570824605,-5187.428571428572,0.0,-106439.08565388907,106439.08565388907
1689,70.375,8.1,6.557142857142858,8.816164166923857,0.0,-95040.0,-5187.428571428572,0.0,-100227.42857142857,100227.42857142857
1690,70.41666666666667,8.747047612756301,6.557142857142858,8.816164166923857,0.0,-88828.34291753951,-5187.428571428572,0.0,-94015.77148896808,94015.77148896808
1691,70.45833333333333,9.35,6.557142857142858,8.816164166923857,0.0,-83040.0,-5187.428571428572,0.0,-88227.42857142857,88227.42857142857
1692,70.5,9.867766952966369,6.557142857142858,8.816164166923857,0.0,-78069.43725152286,-5187.428571428572,0.0,-83256.86582295143,83256.86582295143
